Date,Tweets,Username,Url
2022-08-24 12:26:50+00:00,"@fireship_dev Looks pretty normal , for a dev. If you want a pro tip how to filter them , do the same like me : Install OS and format all storage by mistake with no possible way to recover. If you have something important you will have a git for it or an external HDD or something.",add3mark,https://twitter.com/add3mark/status/1562416137647824896
2022-08-24 10:12:40+00:00,"In @fireship_dev words: idea is cheap, execution is key https://t.co/0LqlHr3suf",scaredgenie,https://twitter.com/scaredgenie/status/1562382374859587584
2022-08-24 09:00:12+00:00,"The second issue of my newsletter should hit your mailboxes. Inside you'll find a bit about #WFH, Unit Testing in #PHP, JS frameworks, and #a11y.

Big thanks to @postphotos, @algolia, @fireship_dev, @understoodorg, @JennJunod, and @LukeDowning19.

https://t.co/02b0RDlmqn",palmiak_fp,https://twitter.com/palmiak_fp/status/1562364137870868482
2022-08-24 05:22:57+00:00,"Amo este canal, y si hablas inglés, seguro también lo amarás. Es el único canal donde puedes ver en solo 100 segundos temas muy complejos.

@fireship_dev

https://t.co/WW7ugyCv0J",anderfrankdev,https://twitter.com/anderfrankdev/status/1562309463855464448
2022-08-24 04:27:43+00:00,"@frontenddude They are like introductory videos, he did as @fireship_dev does it in his 100sec videos.",sandeepDevJs,https://twitter.com/sandeepDevJs/status/1562295567417364483
2022-08-24 03:30:09+00:00,"5. Fireship

🔗 https://t.co/Zjftzi91sF",mdjunaidap,https://twitter.com/mdjunaidap/status/1562281078395908096
2022-08-24 02:03:35+00:00,"Fireship YouTube channel gives me life. I've never seen someone boil complex CS topics into 2-20 minute YouTube videos and I understand the concept better than I had previously.

Love this video and have watched it at least 10 times.
https://t.co/x2xrYJZrkE",tiffanywhitedev,https://twitter.com/tiffanywhitedev/status/1562259293881401345
2022-08-23 20:49:10+00:00,@CodingCarter @fireship_dev https://t.co/NtboGQwNOX,Qnoox,https://twitter.com/Qnoox/status/1562180167556124672
2022-08-23 17:25:24+00:00,“Straight Uphill makes for a delightful read.” https://t.co/vYEUHHkWzb #loveandchocolate #romanceawarenessmonth #booknook #bookjunkies #fireshippress #welovebooks📚 https://t.co/WyUjehuq43,Fireship_Press,https://twitter.com/Fireship_Press/status/1562128885906653186
2022-08-23 15:15:35+00:00,@MakadiaHarsh @traversymedia @maxedapps @DevSimplified @thecodingtrain @kunalstwt @CoreyMSchafer @benawad @developedbyed @fireship_dev @KevinJPowell @cleverqazi @moshhamedani @mpjme @LevelUpTuts @treehouse @ania_kubow @codeSTACKr @SaveToNotion #thread #webDev,rahulvilaskale,https://twitter.com/rahulvilaskale/status/1562096219908091908
2022-08-23 15:10:07+00:00,@reactive_dude Fireship and the NetNinja are my all time favorite🥳,danytulumidis,https://twitter.com/danytulumidis/status/1562094844306153472
2022-08-23 15:02:13+00:00,"I am sure and I feel #SaakiniDaakini have friendship and fireship between @i_nivethathomas and @ReginaCassandra 
Am I correct",Gaginth1,https://twitter.com/Gaginth1/status/1562092852871454720
2022-08-23 14:49:31+00:00,@NathanSpeich @fireship_dev That sounds like a fun day. Keep up the good work!,rfornal,https://twitter.com/rfornal/status/1562089657332109312
2022-08-23 13:56:46+00:00,"@manekinekko @fireship_dev 1st runner up, svelte kit",abba_m_,https://twitter.com/abba_m_/status/1562076382808707075
2022-08-23 13:55:57+00:00,"@manekinekko On /off Twitter, it should be flamethrower.js by @fireship_dev 🙌🏻😂",abba_m_,https://twitter.com/abba_m_/status/1562076178810281985
2022-08-23 13:35:52+00:00,"@reactive_dude I love all of those channels, but Fireship and Kevin Powell are at the top!",frontendilia,https://twitter.com/frontendilia/status/1562071123734691840
2022-08-23 13:20:08+00:00,@reactive_dude Love fireship!,T_codes,https://twitter.com/T_codes/status/1562067166316347396
2022-08-23 12:43:05+00:00,@MakadiaHarsh @traversymedia @maxedapps @DevSimplified @thecodingtrain @kunalstwt @CoreyMSchafer @benawad @developedbyed @fireship_dev @KevinJPowell @cleverqazi @moshhamedani @mpjme @LevelUpTuts This channel has no videos,Biswajit6699,https://twitter.com/Biswajit6699/status/1562057840084533248
2022-08-23 10:48:31+00:00,"Fireship

https://t.co/wc90NAf3c5",HarbaouiGhaith,https://twitter.com/HarbaouiGhaith/status/1562029010607013889
2022-08-23 10:48:28+00:00,"YouTube Channels Summary 
——————————————-

Dev Ed
Bro code
Traversy Media
Web Dev Simplified
dcode
Fireship
Online Tutorials
The Net Ninja
Kevin Powell",HarbaouiGhaith,https://twitter.com/HarbaouiGhaith/status/1562028996224851970
2022-08-23 10:24:42+00:00,"Fireship

""High-intensity ⚡ code tutorials to help you build &amp; ship your app faster.""

This one is my personal favorite. It's short, funny, and packed with crazy amounts of value.

👉 https://t.co/ryIdttmFZu https://t.co/EuRTmQ1pQy",reactive_dude,https://twitter.com/reactive_dude/status/1562023014119526402
